Document,Topic,roberta_polarity,roberta_sentiment
There is an elevator.,topic_17,0.1194273,Neutral
"So many people don't seem to know this.  I haven't gone up (but wouldn't mind it), but it was interesting seeing how they fit an elevator with rails up the inside curve of the structure.",topic_17,0.5005202,Positive
it’s not because there is a lift in one side,topic_17,-0.07982977,Neutral
Are there elevators in this building?,topic_17,0.0,Neutral
"You can sort see to the left, there’s a lift to the top, but it’s only for people with disabilities.",topic_17,0.049958374,Neutral
I think the quickest way to a restroom is to enter where the art gallery is (33rd and 10th?) and take one of those elevators to the 4th floor. The restrooms were right around the corner from the elevators. Those were empty while the ones on lower floors had lines.,topic_17,0.089757785,Neutral
"My friend was there Saturday, and it was so crowded there were lines to escalators and elevators.  The guards finally opened the fire escapes to let people out.",topic_17,-0.4053213,Negative
"It is accessible, there's an elevator visible in the back.",topic_17,0.5005202,Positive
It is fully wheelchair accessible.,topic_17,0.63514894,Positive
Escher sideways.,topic_17,-0.089757785,Neutral
Turns out it's the same erosian the statue of liberty had (and what later renevotions honored).,topic_17,0.0599281,Neutral
It has an elevator that will take visitors to one platform. Not really the same experience though to just go up and down.,topic_17,-0.059928097,Neutral
"No, but that's a rude way to refer to people with disabilities, and there could have been creative ways to allow for different viewpoints and experiencing different landings. It's very much just ""ticking the box"" of being ADA compliant without actually allowing a broader range of people to have a meaningful experience. But if you ask me taking the stairs up isn't going to be a very interesting experience either, so I don't know if people who need the elevator will be missing out on much.....",topic_17,-0.65840906,Negative
Take a look at the photo. There are curved elevators.,topic_17,0.029991005,Neutral
That does NOT look ADA compliant.,topic_17,-0.7013741,Negative
Wouldn't they just have to have an elevator somewhere?,topic_17,-0.1586485,Neutral
Correct. There will be one elevator there.,topic_17,0.069885895,Neutral
I feel my knees aching already. I'll take the elevator.,topic_17,-0.63514894,Negative
There's actually gonna be an elevator for people with disabilities,topic_17,0.2069665,Neutral
I had one of those conversations you have when you're high with a friend and came up with a gang bang scenario where guys must come up the steps to meet the pornstar at the top by the elevator and on e the guy has his turn he may take the elevator down,topic_17,0.0,Neutral
In the context of this thread we are clearly talking about what’s publicly accessible. I even clarified in my 2nd reply to you.,topic_17,0.089757785,Neutral
"Also, ADA?",topic_17,0.019997334,Neutral
