Document,Topic,roberta_polarity,roberta_sentiment
Should just rename it the Darwin Center,topic_4,-0.13909245,Neutral
Is literally just stairways for people to kill themselves on.,topic_4,-0.72589743,Negative
Look on the developer’s website. It doesn’t say “hey we built this awesome attraction - give us $10 and you can climb it but only with a friend!” it says “hey we built this public park with a cool public space come see it”.,topic_4,0.680476,Positive
It’s <15 min walk for me,topic_4,0.029991005,Neutral
mega shawarma staircase,topic_4,0.31852075,Positive
River? You gotta dredge it.,topic_4,-0.13909245,Neutral
Stairway to nowhere.,topic_4,-0.6043678,Negative
“Stairway to Nowhere”,topic_4,-0.16838105,Neutral
It would have been cooler if it wasn't just stairs.,topic_4,0.1194273,Neutral
"Plus, how did the thought not occur to people early on that it would be a prime spot for ending lives. It is a hollow staircase high off the ground with no nets or safeguards...",topic_4,-0.7064193,Negative
"I get that it has a nice view at the top, but I feel like the architect just wanted people to exercise and climb a bunch of stairs. It’s really tragic that it doesn’t have proper railings to prevent people from jumping.",topic_4,-0.6469295,Negative
I visited a couple of times and climbed once. One climb is enough.,topic_4,0.33637556,Positive
"It has really great views of….. New Jersey.  You’re not missing much.  The vessel is beautiful, but it is not all that worth the stairs up and down, imo.  Other great things to see here.",topic_4,0.7352223,Positive
I remember this from The Chainsmokers song Takeaway,topic_4,0.14888503,Neutral
Yes but now we have a pointless structure made entirely of stairs where you can stare at tall ass buildings a couple hundred meters away that block the views in 3 different directions.,topic_4,-0.69625765,Negative
Can you run,topic_4,0.07982977,Neutral
Stairs that get you nowhere. Wasn't that in a Simpsons episode?,topic_4,-0.5849799,Negative
"When you finally get downstairs and that little voice in your head says ""wait"".",topic_4,0.03997868,Neutral
Where the hell was this when I was training for mountain climbing?,topic_4,-0.66403675,Negative
Is this just a giant staircase? What’s at the top?,topic_4,-0.17808087,Neutral
The real staircase was the friends we made along the way.,topic_4,0.48538113,Positive
Or some slapstick comedy chase where they run in and out of the frame at different levels on the stairs.,topic_4,0.0,Neutral
Nothing. It’s a staircase for staircase’s sake,topic_4,-0.119427286,Neutral
