Document,Topic,roberta_polarity,roberta_sentiment
Still… that’s not how public spaces work. If it’s zoned as a public park they can’t charge admissions.,topic_10,-0.597982,Negative
1 more reply,topic_10,0.029991,Neutral
I'm from Manhattan.  The Vessel is just some shitty corporate art.  I don't care what they do with it.,topic_10,-0.7211323,Negative
"Strictly in terms of art, I don’t like it. Looks kinda dystopic to me, I’d prefer something more positive feeling. It’s hard to describe. Gives me a feeling of dread when I look at it. I don’t think it’s anything like the Bean in Chicago, there’s a lovely park near the Bean and it was very lively there.",topic_10,-0.71629786,Negative
"I’m with Jerry Saltz in his assessment of its value, calling it the “Shitgibbon” when he first wrote about the “arts” infrastructure HY developer Related was boasting. It’s a gold-plated commode.",topic_10,-0.1877462,Neutral
1 more reply,topic_10,0.029991,Neutral
"Other than that, I don’t see the purpose for it.",topic_10,-0.62914515,Negative
"Other than that, I don’t see the purpose for it.",topic_10,-0.62914515,Negative
"Its bad public art.  Without any of the other factors it would still be bad public art.  And thats my biggest problem with it.  Its just not good.  Think about the bean in Chicago.  Anish Kapoor crushed it.  Its a huge tourist spot and it enhances the area.  I know they arent the same but Cleopatra's needle or the Lichtenstein Sculptures or even the Robert Indiana Love sculptures are good examples of public art.  The vessel just isnt and it kind of represents the worst of current real estate developer culture. Singapore/Dubai on the hudson not withstanding the whole place feels not like it doesnt belong in nyc.  Strangely, for me at least the office building are the best part of the whole complex.",topic_10,-0.56489956,Negative
"""We made an art!""",topic_10,0.65270674,Positive
"Sure, I'll bite. What's shallow about it; how might it have been better?",topic_10,-0.55805224,Negative
But what is it’s purpose?,topic_10,-0.33637553,Negative
"i know in San Francisco, any major construction project, a portion of the budget must be spent on public art. This could be true for NYC as well.",topic_10,0.089757785,Neutral
Legislated street art requirements usually produce garbage art installations that are only there to really fill the requirement to build. Money could be better spent. Not trying discouraging art or artists.,topic_10,-0.7064193,Negative
1 more reply,topic_10,0.029991,Neutral
1 more reply,topic_10,0.029991,Neutral
Or they could just integrate the barriers designed by the artist themselves. Or better yet they can take it down and replace it with something that isn't an bland and uninspired monument to consumerism in its most mediocre form.,topic_10,-0.4381993,Negative
"""Telling off"" covers a wide range including being yelled at and being told firmly not to do something. You're absolutely splitting hairs and being petty, obtuse and contrary for the sake of creating unnecessary conflict in a discussion. Get over it.",topic_10,-0.69625765,Negative
That idea is being cemented into the public conscience at the speed of QuickSet Cement dries.,topic_10,-0.16838107,Neutral
So what you're saying is that the installation created an experience for the public that allowed people to enjoy their surrounding environment from different angles and heights - enjoyable enough that they want to take a photograph to capture the moment? Sounds like a successful interactive public art installation to me. Aside from their extreme negligence in not adding vertical barriers early.,topic_10,0.6910695,Positive
But but instagram bad,topic_10,-0.7064193,Negative
"lol, when I'm traveling, I always seek out cool architecture and art exhibits, and if I was visiting NYC I would also add the vessel to my list. I think it accomplishes what it set out to do and that is to attract crowds to that area.",topic_10,0.73978305,Positive
"Can you explain what makes it a ""grotesque manifestation of the worst that architecture and private financed art has to offer the world""? That's pretty harsh, and I'm genuinely curious.",topic_10,-0.6910695,Negative
Let me know about any time in recorded human history where humans didn't create large scale art or monuments that were made for people to gather around and gawk at? Even the Soviets - the supposed bastions of utilitarianism - created large scale sculptures just for nationalist pride and visuals for the outside world. It's just now humans are.,topic_10,-0.30950692,Negative
"Art is subjective. Yeah, the reviews of this one aren't kind. But it's not fundamentally in a different category.",topic_10,-0.45421642,Negative
"The Eiffel Tower was built as a dumb showpiece for a Worlds Fair. It's iconic, but you think that shit was pure art? Come on.",topic_10,-0.66959023,Negative
