Document,Topic,roberta_polarity,roberta_sentiment
It must remain. Things happened there that have occurred for decades on too many bridges or skyscrapers.,topic_12,-0.46211714,Negative
-The Darkside has entered the chat-,topic_12,0.03997868,Neutral
And do you know how many people jump off the GWB or Brooklyn bridge? Factually a lot more. Where's the outrage? Where's the clamoring to make those bridges suicide proof? That's what I thought...,topic_12,-0.66403675,Negative
Where's the clamoring to make those bridges suicide proof? That's what I thought...,topic_12,-0.5005202,Negative
bridges ranging from barriers to signs with helplines.,topic_12,-0.03997868,Neutral
Bridges are vital pieces infrastructure. A cool looking art installation isn't.,topic_12,-0.2821348,Negative
Where's the clamoring to make those bridges suicide proof? That's what I thought...,topic_12,-0.5005202,Negative
"Bridges have a clear purpose (transportation) that vastly overshadows the public perception of suicides; the Vessel has no similar ""purpose"". That's why it's not in the news as much, not because of virtue signaling.",topic_12,-0.5298956,Negative
I get how blocking off bridges and gun/pesticide control would work- without a bridge a ordinarily a person would have to go out of their way to find another high platform to jump from.,topic_12,-0.26362485,Negative
The Golden Gate Bridge or Hoover Dam?,topic_12,0.03997868,Neutral
Or how about the 12 story project in Detroit?  The George Washington Bridge?  The railroad behind the factory?  The carbon monoxide filled garage in anyone's home?,topic_12,-0.492988,Negative
Agreed. they arent closing down the Golden Gate Bridge. But 4 people in 2 years is a ridiculously huge number. I think part of this is that A. its is a very high profile landmark and for whatever reason suicides a more prevalent at them and B. we are in dark times and this landmark opened right when they started.,topic_12,-0.6043678,Negative
"How does the suicide rate at the Vessel compare to the rate at the Brooklyn Bridge, George Washington Bridge, Empire State Building, in front of subway trains, etc?",topic_12,-0.19737533,Neutral
"The Brooklyn Bridge and Empire State Building, at least, have significant barriers to jumping.",topic_12,-0.5153593,Negative
"That's it, get rid of it all! /s",topic_12,-0.65840906,Negative
Add the VZ Bridge to that list.  It's been a place for the last dozen or so years.,topic_12,0.0,Neutral
Hire a bunch of golden retrievers to run around trying to get visitors to play with them.,topic_12,-0.0099996645,Neutral
You had me at bunch of golden retrievers,topic_12,0.30950692,Positive
"""If you do not remedy this malparkage in 72 hours, your car will be dumped into the East River at your expense.""",topic_12,-0.7211323,Negative
"Yep. Apartment balconies, shopping malls, cellphone towers, subway tracks, Queens Blvd, Long Island expressway, Brooklyn Bridge, the Hudson River...plenty of places for people to off themselves of they're determined to do so. At some point we have to realize we cant shut everything down due to the potential for these types of incidents.",topic_12,-0.25429553,Negative
"Only four people have survived a suicide jump from the Golden Gate Bridge. One would hit the water at well over 120mph leaving one almost incapable of handling the freezing waters. All four were left seriously injured for life, regretted doing it and never tried again.",topic_12,-0.7064193,Negative
So close all the bridges in the world,topic_12,-0.4462436,Negative
Dam 🦫,topic_12,-0.4053213,Negative
Brooklyn Bridge has entered the chat room…..,topic_12,0.009999668,Neutral
(Sandy was 2012),topic_12,0.08975778,Neutral
"Manhattan Bridge? Pretty sure that's painted blue, my man.",topic_12,-0.12927258,Neutral
When I was typing that I was recalling this “color influence diagram” that Shop Architects presented for their 247 Cherry St Tower (the Two Bridges Project) which they are going to clad in a green hue terra-cotta. They listed the bridge as one of their influences.,topic_12,0.059928104,Neutral
More people have died jumping from the Golden Gate Bridge. Do you look at that and think “evil”?,topic_12,-0.72589743,Negative
"It is far less than the GW Bridge,  Verrazano and old Tappan Zee Bridge. So I'm not sure what you're comparing it to.",topic_12,-0.39693043,Negative
You should tell your theory to the MTA. I hear they have some train platforms without guardrails… also the TBA has a bridge or two that might need a bubble around it.,topic_12,-0.23549576,Neutral
There's no point in installing seatbelts in cars. People will crash their cars anyway.,topic_12,-0.66959023,Negative
