Document,Topic,roberta_polarity,roberta_sentiment
The developer is worried about aesthetics but they should be building higher barriers or nets or a combination of them just to help. Of course we need more healthcare funding overall and help for people who need it.,topic_18,-0.16838104,Neutral
Just my opinion as a native New yorker. I think it's ugly . I think they should put nets up for sure,topic_18,-0.6858091,Negative
I’ve always thought it was hideous but I doubt they would ever tear it down. Best thing they could do at this point is put up nets,topic_18,-0.7013741,Negative
"It's an art installation, basically, and it should probably be taken down. Yeah you could put netting up but then what's the point? It's not like a bridge that has a functional value.",topic_18,-0.680476,Negative
It’s cool. Maybe add some protection,topic_18,0.47770005,Positive
China,topic_18,0.01999733,Neutral
"Seeing that install would be my 13th reason, Jesus.",topic_18,0.45421642,Positive
Install the nets!,topic_18,0.069885895,Neutral
Looking at the photo this screams suicide. Maybe installing netting ever few floors would work,topic_18,-0.7064193,Negative
"Until the kids as ""Daddy, what's that net for?""",topic_18,-0.04995837,Neutral
They will just find somewhere else to do it,topic_18,-0.5441271,Negative
Tear this down.,topic_18,-0.5783634,Negative
"We have office, residential, commercial, and public space. Seems like a net win to me",topic_18,0.6910695,Positive
Tear it down.,topic_18,-0.33637553,Negative
tear it down,topic_18,-0.22602834,Neutral
There’s a steel furnace party in Philly in April. Do attend.,topic_18,0.20696649,Neutral
"While his work did not do much to propel the science community forward in regard to the overarching hypothesis, his work can be found all over the city.",topic_18,-0.12927258,Neutral
Tear it down already.,topic_18,-0.59798205,Negative
Or it could just be marketing?,topic_18,-0.14888504,Neutral
There are nets in there now??,topic_18,-0.029991003,Neutral
The fact that they didn't install vertical barriers after the first incident is unconscionable. It's such an easy fucking fix.,topic_18,-0.72589743,Negative
"Not to defend a silly bunch of staircases, but the safety nets they put up on the Highbridge are made of such thin wire they really aren't obtrusive at all. Of course the architect is gonna reject all visual changes to his work, but this thing is obvs a suicide magnet and needs to be corrected.",topic_18,-0.67506987,Negative
"Install a net, may be?",topic_18,-0.009999668,Neutral
Same question can apply to just about any big building...,topic_18,0.01999733,Neutral
How about installing some netting in the middle. For the side electrified walls.,topic_18,-0.06988588,Neutral
Maybe. They’re floating plans for a casino there now instead.,topic_18,0.0,Neutral
Tear it down.,topic_18,-0.33637553,Negative
She can get an even better view from the GWB. Probably more air too..,topic_18,0.55112803,Positive
"It's just ""around"" now.",topic_18,-0.049958374,Neutral
Or install nets. How about making mental healthcare more accessible? People aren't killing themselves because it's tall.,topic_18,-0.421899,Negative
A net?,topic_18,-0.03997868,Neutral
I would jump if there was a decent net.,topic_18,-0.22602834,Neutral
I am literally suggesting putting nets under the 'ideal' jump point i.e. under the outside of the structure.,topic_18,-0.039978683,Neutral
Nah. Just remove it,topic_18,-0.46211714,Negative
They’re not putting up netting around that structure.,topic_18,-0.4699452,Negative
"""Aw maaaan!""",topic_18,0.3004371,Positive
Or add a piranha moat to cover the cleanup.,topic_18,-0.13909245,Neutral
"So sad to hear. This is an incredible adult jungle gym, no one builds things like this anymore. Can  netting/ fences be put in place, a la Goldengate Bridge?",topic_18,-0.56489956,Negative
"Yes, a one-off that maybe happens every 10 years",topic_18,0.049958374,Neutral
Install Puppies. lots of Puppies.,topic_18,0.3004371,Positive
"Wouldnt it be easier to put a safety net? It would indeed take away some of the aesthethic, but if its done correctly, not enough to ruin it",topic_18,-0.56489956,Negative
"I mean: maybe we invest in mental health instead of nets, security, demolition, and such.",topic_18,-0.31852078,Negative
Have they not heard of nets?,topic_18,-0.39693043,Negative
Are you a big Apple greeter?,topic_18,0.15864852,Neutral
Charging their batteries,topic_18,0.01999733,Neutral
They're installing ziplines.,topic_18,-0.07982977,Neutral
Or children and innocent bystanders. I was merely putting it in a light manner.,topic_18,-0.35399172,Negative
"What about sober guards, maybe those could help?",topic_18,0.0599281,Neutral
“maybe”,topic_18,0.029991005,Neutral
One of those documentaries that just stays with you.,topic_18,0.51535934,Positive
It is a bit strange but some good came out of it like the net that now catches people. The film just wouldn’t have been impactful otherwise in my opinion.,topic_18,0.36270747,Positive
Safety net is almost completed.,topic_18,0.62914515,Positive
"Actually netting need not cover the whole open area, just about 6-10 feet along the inner perimeter, as it’d be highly improbable to clear the distance by jumping over the railing - which is why it’s done as such on bridges and observatories. Properly designed it might not obstruct too much of the overall view, but also made to tangle the falling person/object so as to prevent or slow further progress.",topic_18,-0.22602835,Neutral
