Document,Topic,roberta_polarity,roberta_sentiment
"I was being facetious. The ticket revenue does go directly to security upgrades, I believe it was also supposed to be a deterrent (the idea is you have to pay = less suicides)",topic_15,-0.1877462,Neutral
They still offer free tickets but only 9-11am,topic_15,0.12927258,Neutral
that a very small part of the community will be able to enjoy it.,topic_15,0.4053213,Positive
This is just making things up.  Anyone who can afford a $2.75 subway ticket can get there easily.,topic_15,-0.21651807,Neutral
Doesn’t it also generate ticket income?,topic_15,0.019997334,Neutral
I thought tickets are free timed entry? (unless that's changed),topic_15,-0.009999668,Neutral
"Now, the EDGE observation deck (right next door), yeah ... that generates ticket income.",topic_15,0.39693046,Positive
They added an entrance fee after the first deaths to try to deter more.,topic_15,-0.24491866,Neutral
using a # at the beginning of a line will do that to the whole line ... case in point:,topic_15,-0.31852075,Negative
it's not free anymore lol,topic_15,-0.43008423,Negative
It's no longer free. Free for the opening hour but $10 onwards!,topic_15,-0.19737533,Neutral
Yes - but you're acting like that's a con. It's not free anymore because people killed themselves and they added a fee as a deterrent.,topic_15,-0.71629786,Negative
That fee won't stop anyone if they want to go,topic_15,-0.3004371,Negative
"Well that's what they learned lol. So they did that and made it so you can't go alone. This kid went with his family, they all paid the admission fee, and he jumped in front of them.",topic_15,-0.23549576,Neutral
What adult cannot come up with 10$ in a day though?,topic_15,-0.46211714,Negative
"You need to come up with $10, find someone to go with you, and have the foresight to make a reservation.",topic_15,0.079829775,Neutral
"I would have liked to see it once but I refused to go when it first opened because I didn't want to have to get a ticket at 8 am. I figured I'd see it someday, but now I really have no desire - there's got to be negative energy around it (call me superstitious) but I wouldn't be allowed to go anyway as someone who would most likely go alone.",topic_15,-0.69625765,Negative
"Biggest bullishit when I tried to get on there. I was excited to walk in but when I arrived, I was given ticket to return in several hours when my turn is next.",topic_15,0.5298956,Positive
It’s free,topic_15,0.345214,Positive
"And it’s also free! A little bit of a wait time, but they make sure it’s never over crowded so you can enjoy the space.",topic_15,0.7113937,Positive
I only had to wait about hour and a half. They gave us a ticket with a time to come back and we got in right away then.,topic_15,0.46211714,Positive
"Boom, ticketed.",topic_15,0.66403675,Positive
"My roommate was down in the dumps for like a week straight wouldn't leave his room, talk to anyone, shower, or do his laundry. Then on the day he jumped off the roof he called his girlfriend and they have a nice conversation about this they were going to do, travel, get married, etc. Cleaned his room. Paid his parking ticket. Made plans to have basketball game with friends in a few days.",topic_15,-0.29131263,Negative
"Most people are afraid of death. But when you're at your lowest point you're afraid of spending one more day in that psychological place. In your head, jumping is your ticket out.",topic_15,-0.6169093,Negative
offering free buses,topic_15,0.27290508,Positive
"What is the function of Rockefeller Center? I doubt you hate it. Do feel free to question the aesthetics, but do recognize society likes architectural greatness for its own sake.",topic_15,-0.089757785,Neutral
I'm sellin' tickets to an Authentic 1929 Wall St experience.,topic_15,0.2821348,Positive
"I'm not even kidding when I say that would be so fucking cool...as long as I get a ticket back too, not trying to stick around once I get hungry.",topic_15,0.5005202,Positive
It’s free to go up it.,topic_15,0.17808086,Neutral
requiring visitors to enter with at least one companion and changing the free admission policy to $10 per ticket were the new safety measures that were applied in may after the reopening.,topic_15,0.0,Neutral
I stopped by over lunch the other day and went right up :/,topic_15,-0.57167,Negative
Even for poors like me it's a free clean bathroom to use after walking the high line.,topic_15,0.45421642,Positive
The high line is free....,topic_15,0.26362482,Positive
Century21 CK Boxers are roughly 15$ give/take for 3 ...here i pay 20€ for one,topic_15,-0.03997868,Neutral
You were able to get to the bar?,topic_15,0.03997868,Neutral
Is there going to be a cost of admission or  is it open to the public?,topic_15,0.009999666,Neutral
I went to a reception for the developer and I believe that you do need to get tickets for specific timed entry,topic_15,0.04995837,Neutral
Just imagine how crowded this will get the way the high line is now. But from what I've read u have to reserve  a time slot to go see it at least till the hype calms down,topic_15,-0.22602837,Neutral
"""Let's get them away from where they can spend money onto a free walkway with minimal concessions or revenue opportunities""",topic_15,-0.11942729,Neutral
"Most likely free but required to manage demand, like the African American museum in DC.",topic_15,0.07982977,Neutral
The museum of African American history.... The museum itself isn't African American.,topic_15,-0.5849799,Negative
Where'd you come from?,topic_15,0.019997334,Neutral
Could you imagine a clear summer's day in 1886? You could probably see her for miles.,topic_15,0.31852075,Positive
